,REEVES_1_REEVES3GNODE,TA3_7_CGTGGNODE,STUDIO_1_PROSPERITYGNODE,CLINESCO_3_ELCABOWF1GNODE,SANJUAN_3_SANJUAN4GNODE,CMFS_1_SOLA_CIMGNODE,FC_3_PNM_FCST4GNODE,ARROYO_1_ARROYOSOLARGNODE,LOSMORRO_1_FACEBOOK1PVGNODE,PDTYRONE_LNODERONE,MARQUEZ_1_CIBOLAPVGNODE,GUADALUP_3_ARAGONNEWFGNODE,LONEMESA_7_CASAMEBATTGNODE,LOSTHORZ_1_SANTOLINAPVGNODE,ALAMOGCP_1_OTEROPVGNODE,AFTON_3_AFTONSTGNODE,COLLEGE_1_VISTAPVGNODE,SANJUAN_3_SANJUAN1GNODE,ELBUTTE_1_ELBUTTEHYDROGNODE,PROGRESS_1_SANDOVALPVGNODE,LUNA_3_LEFGNODE,LOSMORRO_1_LOSLUNASPVGNODE,LORDBURG_1_GEN2GTGNODE,ARRIBA_1_SANMIGUEL1PVGNODE,STATEPEN_1_SANTAFEPVGNODE,CLINESCO_3_ELCABOWF2GNODE,PYGS_1_PYRAMID A3GNODE,TAIBANM_3_LONEMESAWFGNODE,PERSON_1_RIOBRAVOGNODE,ALAMOGCP_1_ALAMOPVGNODE,REDMESA_1_REDMESAWFGNODE,WILLARD_1_HIGHLONEWFGNODE,LAJOYA_3_LJOYA1GNODE,TOME_1_RIODELOROPVGNODE,LOSTHORZ_1_FACEBOOK2PVGNODE,IVANHOE_LNODENHOE,PYGS_1_PYRAMID A1GNODE,SCENIC_1_RIORANCHOPVGNODE,COLLEGE_1_MANZANOPVGNODE,BRITTON_1_BRITTONPVGNODE,PYGS_1_PYRAMID A4GNODE,SPRV_3_COAL_SPV3GNODE,REEVES_1_REEVES1GNODE,COYTEJCT_6_ABIQUIUHYDROGNODE,ALLN_1_ALLN SOLARGNODE,PYGS_1_PYRAMID A2GNODE,HURLEY_LNODERLEY,LORDBURG_1_GEN1GTGNODE,CIBOLA_1_ROUTE66GNODE,REEVES_1_REEVES2GNODE,SPILLS_6_ELVADOHYDROGNODE,ARRIBA_1_SANMIGUEL2PVGNODE,BELEN_1_LALUZGNODE,JARALES_1_RIOCOMMPVGNODE,LIGHTDOC_1_LIGHTNINGDGEOGNODE,FC_5_PNM_FCST5GNODE,LOSTHORZ_1_FACEBOOK3PVGNODE,MD1_LNODEMINE,LAJOYA_3_LJOYA2GNODE,TOME_1_VEFGTGNODE,LONEMESA_7_CASAMESAWFGNODE,HONDALE_1_DEMINGPVGNODE,AFTON_3_AFTONCTGNODE,S_COORS_1_SOUTHVALLEPVGNODE,REEVES_1_REEVESPVGNODE,ARRIBAT_1_LASVEGASPVGNODE,ELCERRO_1_MEADOWLAKEPVGNODE,RIOPUERC_3_ENCINOPVGNODE,ARROYO_1_ARROYOBATTERYGNODE
2022-09-01T07:00:00-00:00,106.63297,106.09398,106.61817,103.14732,103.85536,92.39513,104.3379,99.03075,109.2461,112.91069,106.12861,103.6669,107.56376,106.90798,110.7973,109.04378,108.35539,103.85536,110.45867,105.94638,109.05603,109.2461,108.78782,101.50306,105.43516,103.1566,109.71564,107.56376,104.21511,110.7973,106.10078,108.43316,103.81536,108.78934,106.90798,114.07047,109.71564,106.24704,108.35539,108.78928,109.71564,106.75036,106.84637,111.72204,109.59113,109.71564,112.83647,108.78782,107.34194,106.84637,124.0992,101.50306,108.96563,108.92852,109.4373,105.99117,106.90798,114.54366,103.81536,108.78934,107.56376,108.93323,108.65409,106.60889,106.63297,101.4845,108.00281,105.55966,99.03075
2022-09-01T07:15:00-00:00,118.23908,118.16959,118.23908,118.23908,118.16959,116.39509,118.23908,118.23908,118.2841,118.81557,118.2841,118.23908,118.23908,118.26159,118.67659,118.6991,118.2841,118.16959,118.60709,118.23908,118.76859,118.2841,118.86059,117.27011,118.1001,118.23908,118.86059,118.23908,118.23908,118.67659,118.2841,118.26159,118.23908,118.2841,118.26159,118.7911,118.86059,118.23908,118.2841,118.23908,118.86059,118.86059,118.23908,118.1001,118.67659,118.86059,118.7911,118.86059,118.2841,118.23908,118.1001,117.27011,118.2841,118.2841,118.86059,118.42309,118.26159,118.81557,118.23908,118.2841,118.23908,118.74608,118.6991,118.23908,118.23908,117.27011,118.2841,118.23908,118.23908
2022-09-01T07:30:00-00:00,115.11519,114.92926,115.11519,115.07864,115.04209,112.08467,115.11519,115.11519,115.15491,116.0512,115.15491,115.07864,115.07864,115.15491,115.82554,115.86527,115.15491,115.04209,115.71589,115.11519,115.9781,115.15491,116.0512,113.50855,114.92926,115.07864,116.0512,115.07864,115.11519,115.82554,115.15491,115.15491,115.07864,115.19147,115.15491,116.0512,116.0512,115.11519,115.15491,115.11519,116.0512,116.12748,115.11519,114.8927,115.86527,116.0512,116.01465,116.0512,115.19147,115.11519,114.8927,113.50855,115.22802,115.19147,116.0512,115.45368,115.15491,116.0512,115.07864,115.19147,115.07864,115.93837,115.86527,115.11519,115.11519,113.50855,115.15491,115.11519,115.11519
2022-09-01T07:45:00-00:00,107.18419,107.05558,107.18419,107.1389,107.05558,103.77155,107.18419,107.18419,107.26751,108.2058,107.22585,107.1389,107.1389,107.18419,107.99387,108.03553,107.26751,107.05558,107.86526,107.18419,108.16414,107.26751,108.29275,105.39092,106.92697,107.1389,108.29275,107.1389,107.18419,107.99387,107.22585,107.18419,107.1389,107.26751,107.18419,108.2058,108.29275,107.18419,107.26751,107.18419,108.29275,108.33441,107.18419,106.92697,107.99387,108.29275,108.2058,108.29275,107.26751,107.18419,106.92697,105.39092,107.26751,107.26751,108.29275,107.52473,107.18419,108.2058,107.1389,107.26751,107.1389,108.12248,108.03553,107.18419,107.18419,105.39092,107.22585,107.18419,107.18419
2022-09-01T08:00:00-00:00,103.606,103.58266,103.606,103.59778,103.58266,102.98669,103.606,103.606,103.62112,103.7914,103.62112,103.59778,103.59778,103.62112,103.75294,103.76806,103.62112,103.58266,103.7296,103.606,103.78384,103.62112,103.81474,103.28057,103.55932,103.59778,103.81474,103.59778,103.606,103.75294,103.62112,103.61356,103.59778,103.62112,103.62112,103.7914,103.81474,103.606,103.62112,103.606,103.81474,103.81474,103.606,103.55932,103.75294,103.81474,103.7914,103.81474,103.62112,103.606,103.55932,103.28057,103.62112,103.62112,103.81474,103.6678,103.62112,103.7914,103.59778,103.62112,103.59778,103.77628,103.76806,103.606,103.606,103.28057,103.62112,103.606,103.606
2022-09-01T08:15:00-00:00,101.37691,101.3683,101.37691,101.37467,101.37054,101.20787,101.37467,101.37467,101.38104,101.42752,101.37898,101.37467,101.37467,101.37898,101.41702,101.41908,101.38104,101.37054,101.41065,101.37467,101.42545,101.38104,101.43182,101.28808,101.36417,101.37467,101.43182,101.37467,101.37691,101.41702,101.38104,101.37691,101.37467,101.38104,101.37898,101.42752,101.43182,101.37691,101.38104,101.37691,101.43182,101.43389,101.37691,101.36417,101.41702,101.43182,101.42752,101.43182,101.38104,101.37691,101.36417,101.28808,101.38104,101.38104,101.43182,101.39378,101.37898,101.42752,101.37467,101.38104,101.37467,101.42115,101.41908,101.37691,101.37691,101.28808,101.37898,101.37467,101.37467
2022-09-01T08:30:00-00:00,93.4695,93.15164,94.34602,89.47222,90.96518,89.89587,91.10003,91.10966,97.02372,99.32581,92.74711,89.33737,87.34355,93.45024,96.9178,94.70244,96.29168,90.96518,97.29344,92.59299,94.90472,97.02372,94.85657,93.39236,92.38108,89.48185,95.78124,87.34355,94.50013,96.9178,92.71821,96.90813,90.1272,96.6288,93.45024,100.52018,95.78124,92.96864,96.29168,96.60954,95.78124,93.02649,93.64288,97.28376,95.97386,95.78124,99.20059,94.85657,93.45024,93.64288,108.87106,93.39236,96.82144,96.78292,95.44412,91.43717,93.45024,101.05957,90.1272,96.6288,87.34355,95.0492,94.30753,93.77773,93.4695,93.3731,95.84861,92.03433,91.10966
2022-09-01T08:45:00-00:00,84.87403,84.50242,85.63791,81.34575,82.58456,80.19635,82.72242,82.73921,87.89776,90.70565,84.11854,81.21983,79.45702,84.83205,88.38744,86.45852,87.35213,82.58456,88.45678,84.09069,86.67459,87.89776,87.64615,83.7899,83.79552,81.35414,87.64615,79.45702,85.77222,88.38744,84.06155,87.81204,81.91656,87.6561,84.83205,91.73815,87.64615,84.42913,87.35213,87.50145,87.64615,84.81904,85.01673,87.85838,87.45567,87.64615,90.55455,87.64615,84.86079,85.01673,97.4531,83.7899,87.7988,87.78202,87.29359,83.1188,84.83205,92.08232,81.91656,87.6561,79.45702,86.76515,86.11435,85.12586,84.87403,83.78151,86.94743,83.59543,82.73921
2022-09-01T09:00:00-00:00,88.28423,87.97277,89.08237,84.50827,85.71381,83.39178,85.87641,85.89393,91.04502,94.75931,87.49896,84.41196,82.61704,88.26946,92.50872,90.37508,90.48465,85.72256,92.13598,87.42391,90.56396,91.04502,91.50582,87.23528,87.25856,84.52578,91.52333,82.61704,89.22246,92.50872,87.42016,91.05377,85.12993,90.69479,88.26946,95.84364,91.52333,87.82018,90.48465,90.90218,91.52333,88.20493,88.42432,91.51382,91.26679,91.52333,94.60908,91.50582,88.20817,88.42432,102.30958,87.23528,90.83488,90.80861,91.16435,86.28318,88.26946,96.23902,85.12993,90.69479,82.61704,90.69254,90.00735,88.54827,88.28423,87.21777,90.18696,86.9271,85.89393
2022-09-01T09:15:00-00:00,87.9188,87.5973,88.69858,84.25416,85.38025,82.90252,85.52867,85.54589,90.5845,94.39675,87.17433,84.18527,82.4199,87.8977,92.18257,90.07747,90.04198,85.38025,91.73189,87.08736,90.25646,90.5845,91.17604,86.75398,86.90635,84.27138,91.19326,82.4199,88.83636,92.18257,87.11405,90.54145,84.85697,90.24004,87.8977,95.44534,91.19326,87.47574,90.04198,90.44672,91.19326,87.90839,88.05659,91.00071,90.93863,91.19326,94.23112,91.17604,87.83742,88.05659,101.46374,86.75398,90.37783,90.35199,90.84019,85.97448,87.8977,95.84349,84.85697,90.24004,82.4199,90.38951,89.71579,88.18188,87.9188,86.74537,89.74918,86.60124,85.54589
