,REEVES_1_REEVES3GNODE,TA3_7_CGTGGNODE,STUDIO_1_PROSPERITYGNODE,CLINESCO_3_ELCABOWF1GNODE,SANJUAN_3_SANJUAN4GNODE,CMFS_1_SOLA_CIMGNODE,FC_3_PNM_FCST4GNODE,ARROYO_1_ARROYOSOLARGNODE,LOSMORRO_1_FACEBOOK1PVGNODE,PDTYRONE_LNODERONE,MARQUEZ_1_CIBOLAPVGNODE,GUADALUP_3_ARAGONNEWFGNODE,LONEMESA_7_CASAMEBATTGNODE,LOSTHORZ_1_SANTOLINAPVGNODE,ALAMOGCP_1_OTEROPVGNODE,AFTON_3_AFTONSTGNODE,COLLEGE_1_VISTAPVGNODE,SANJUAN_3_SANJUAN1GNODE,ELBUTTE_1_ELBUTTEHYDROGNODE,PROGRESS_1_SANDOVALPVGNODE,LUNA_3_LEFGNODE,LOSMORRO_1_LOSLUNASPVGNODE,LORDBURG_1_GEN2GTGNODE,ARRIBA_1_SANMIGUEL1PVGNODE,STATEPEN_1_SANTAFEPVGNODE,CLINESCO_3_ELCABOWF2GNODE,PYGS_1_PYRAMID A3GNODE,TAIBANM_3_LONEMESAWFGNODE,PERSON_1_RIOBRAVOGNODE,ALAMOGCP_1_ALAMOPVGNODE,REDMESA_1_REDMESAWFGNODE,WILLARD_1_HIGHLONEWFGNODE,LAJOYA_3_LJOYA1GNODE,TOME_1_RIODELOROPVGNODE,LOSTHORZ_1_FACEBOOK2PVGNODE,IVANHOE_LNODENHOE,PYGS_1_PYRAMID A1GNODE,SCENIC_1_RIORANCHOPVGNODE,COLLEGE_1_MANZANOPVGNODE,BRITTON_1_BRITTONPVGNODE,PYGS_1_PYRAMID A4GNODE,SPRV_3_COAL_SPV3GNODE,REEVES_1_REEVES1GNODE,COYTEJCT_6_ABIQUIUHYDROGNODE,ALLN_1_ALLN SOLARGNODE,PYGS_1_PYRAMID A2GNODE,HURLEY_LNODERLEY,LORDBURG_1_GEN1GTGNODE,CIBOLA_1_ROUTE66GNODE,REEVES_1_REEVES2GNODE,SPILLS_6_ELVADOHYDROGNODE,ARRIBA_1_SANMIGUEL2PVGNODE,BELEN_1_LALUZGNODE,JARALES_1_RIOCOMMPVGNODE,LIGHTDOC_1_LIGHTNINGDGEOGNODE,FC_5_PNM_FCST5GNODE,LOSTHORZ_1_FACEBOOK3PVGNODE,MD1_LNODEMINE,LAJOYA_3_LJOYA2GNODE,TOME_1_VEFGTGNODE,LONEMESA_7_CASAMESAWFGNODE,HONDALE_1_DEMINGPVGNODE,AFTON_3_AFTONCTGNODE,S_COORS_1_SOUTHVALLEPVGNODE,REEVES_1_REEVESPVGNODE,ARRIBAT_1_LASVEGASPVGNODE,ELCERRO_1_MEADOWLAKEPVGNODE,RIOPUERC_3_ENCINOPVGNODE,ARROYO_1_ARROYOBATTERYGNODE
2022-09-01T07:00:00-00:00,14.53486,14.37627,14.61283,14.77905,14.69845,4.88046,15.02325,15.02325,14.77275,15.87656,14.77275,14.77905,14.77905,14.77275,15.63736,15.96217,14.77275,14.69845,15.4008,14.53486,15.95587,14.77275,16.11445,10.29565,14.05146,14.77905,16.11445,14.77905,14.61283,15.63736,14.77275,14.69279,14.77905,14.93764,14.77275,15.87656,16.11445,14.61283,14.77275,14.61283,16.11445,16.19243,14.53486,13.97348,15.63736,16.11445,15.87656,16.11445,14.93764,14.53486,13.97348,10.29565,14.93764,14.93764,16.11445,16.3889,14.77275,15.87656,14.77905,14.93764,14.77905,15.79595,15.96217,14.61283,14.53486,10.29565,14.77275,14.77905,15.02325
2022-09-01T07:15:00-00:00,6.44764,6.37815,6.44764,6.44764,6.37815,4.60365,6.44764,6.44764,6.49266,7.02413,6.49266,6.44764,6.44764,6.47015,6.88515,6.90766,6.49266,6.37815,6.81565,6.44764,6.97715,6.49266,7.06915,5.47867,6.30866,6.44764,7.06915,6.44764,6.44764,6.88515,6.49266,6.47015,6.44764,6.49266,6.47015,6.99966,7.06915,6.44764,6.49266,6.44764,7.06915,7.06915,6.44764,6.30866,6.88515,7.06915,6.99966,7.06915,6.49266,6.44764,6.30866,5.47867,6.49266,6.49266,7.06915,6.63165,6.47015,7.02413,6.44764,6.49266,6.44764,6.95464,6.90766,6.44764,6.44764,5.47867,6.49266,6.44764,6.44764
2022-09-01T07:30:00-00:00,10.54322,10.35729,10.54322,10.50667,10.47012,7.51271,10.54322,10.54322,10.58295,11.47924,10.58295,10.50667,10.50667,10.58295,11.25358,11.2933,10.58295,10.47012,11.14392,10.54322,11.40613,10.58295,11.47924,8.93659,10.35729,10.50667,11.47924,10.50667,10.54322,11.25358,10.58295,10.58295,10.50667,10.6195,10.58295,11.47924,11.47924,10.54322,10.58295,10.54322,11.47924,11.55551,10.54322,10.32074,11.2933,11.47924,11.44268,11.47924,10.6195,10.54322,10.32074,8.93659,10.65605,10.6195,11.47924,10.88171,10.58295,11.47924,10.50667,10.6195,10.50667,11.36641,11.2933,10.54322,10.54322,8.93659,10.58295,10.54322,10.54322
2022-09-01T07:45:00-00:00,12.0632,11.93459,12.0632,12.01792,11.93459,8.65056,12.0632,12.0632,12.14652,13.08482,12.10486,12.01792,12.01792,12.0632,12.87289,12.91455,12.14652,11.93459,12.74428,12.0632,13.04316,12.14652,13.17176,10.26993,11.80598,12.01792,13.17176,12.01792,12.0632,12.87289,12.10486,12.0632,12.01792,12.14652,12.0632,13.08482,13.17176,12.0632,12.14652,12.0632,13.17176,13.21343,12.0632,11.80598,12.87289,13.17176,13.08482,13.17176,12.14652,12.0632,11.80598,10.26993,12.14652,12.14652,13.17176,12.40374,12.0632,13.08482,12.01792,12.14652,12.01792,13.00149,12.91455,12.0632,12.0632,10.26993,12.10486,12.0632,12.0632
2022-09-01T08:00:00-00:00,2.18721,2.16387,2.18721,2.17899,2.16387,1.5679,2.18721,2.18721,2.20233,2.3726,2.20233,2.17899,2.17899,2.20233,2.33414,2.34926,2.20233,2.16387,2.3108,2.18721,2.36504,2.20233,2.39594,1.86177,2.14053,2.17899,2.39594,2.17899,2.18721,2.33414,2.20233,2.19477,2.17899,2.20233,2.20233,2.3726,2.39594,2.18721,2.20233,2.18721,2.39594,2.39594,2.18721,2.14053,2.33414,2.39594,2.3726,2.39594,2.20233,2.18721,2.14053,1.86177,2.20233,2.20233,2.39594,2.249,2.20233,2.3726,2.17899,2.20233,2.17899,2.35748,2.34926,2.18721,2.18721,1.86177,2.20233,2.18721,2.18721
2022-09-01T08:15:00-00:00,0.59526,0.58665,0.59526,0.59302,0.58889,0.42622,0.59302,0.59302,0.59939,0.64587,0.59733,0.59302,0.59302,0.59733,0.63537,0.63743,0.59939,0.58889,0.629,0.59302,0.6438,0.59939,0.65018,0.50643,0.58252,0.59302,0.65018,0.59302,0.59526,0.63537,0.59939,0.59526,0.59302,0.59939,0.59733,0.64587,0.65018,0.59526,0.59939,0.59526,0.65018,0.65224,0.59526,0.58252,0.63537,0.65018,0.64587,0.65018,0.59939,0.59526,0.58252,0.50643,0.59939,0.59939,0.65018,0.61213,0.59733,0.64587,0.59302,0.59939,0.59302,0.6395,0.63743,0.59526,0.59526,0.50643,0.59733,0.59302,0.59302
2022-09-01T08:30:00-00:00,-0.00183,-0.00184,-0.00183,-0.00184,-0.00184,-0.00199,-0.00184,-0.00184,-0.00183,-0.00179,-0.00183,-0.00184,-0.00184,-0.00183,-0.0018,-0.00179,-0.00183,-0.00184,-0.0018,-0.00184,-0.00179,-0.00183,-0.00178,-0.00192,-0.00185,-0.00184,-0.00178,-0.00184,-0.00183,-0.0018,-0.00183,-0.00183,-0.00184,-0.00183,-0.00183,-0.00179,-0.00178,-0.00183,-0.00183,-0.00183,-0.00178,-0.00178,-0.00183,-0.00185,-0.0018,-0.00178,-0.00179,-0.00178,-0.00183,-0.00183,-0.00185,-0.00192,-0.00183,-0.00183,-0.00178,-0.00182,-0.00183,-0.00179,-0.00184,-0.00183,-0.00184,-0.00179,-0.00179,-0.00183,-0.00183,-0.00192,-0.00183,-0.00184,-0.00184
2022-09-01T08:45:00-00:00,2.94297,2.89035,2.94297,2.93191,2.91157,2.1099,2.93191,2.93191,2.95314,3.19236,2.94297,2.93191,2.93191,2.94297,3.14062,3.15079,2.95314,2.91157,3.10923,2.93191,3.18219,2.95314,3.21358,2.50521,2.88018,2.93191,3.21358,2.93191,2.94297,3.14062,2.95314,2.94297,2.93191,2.96331,2.94297,3.19236,3.21358,2.94297,2.95314,2.94297,3.21358,3.22375,2.94297,2.88018,3.14062,3.21358,3.19236,3.21358,2.96331,2.94297,2.88018,2.50521,2.96331,2.96331,3.21358,3.0261,2.94297,3.19236,2.93191,2.96331,2.93191,3.17202,3.15079,2.94297,2.94297,2.50521,2.94297,2.93191,2.93191
2022-09-01T09:00:00-00:00,2.93183,2.90056,2.94196,2.92082,2.90056,2.10202,2.93183,2.93183,2.95209,3.19037,2.95209,2.92082,2.92082,2.95209,3.12871,3.14897,2.95209,2.90056,3.09744,2.92082,3.18024,2.95209,3.21151,2.49578,2.86928,2.92082,3.21151,2.92082,2.94196,3.12871,2.95209,2.95209,2.92082,2.95209,2.95209,3.18024,3.21151,2.93183,2.95209,2.93183,3.21151,3.21151,2.93183,2.86928,3.13884,3.21151,3.18024,3.21151,2.95209,2.93183,2.86928,2.49578,2.95209,2.95209,3.21151,3.01463,2.95209,3.19037,2.92082,2.95209,2.92082,3.15998,3.14897,2.94196,2.93183,2.49578,2.95209,2.93183,2.93183
2022-09-01T09:15:00-00:00,3.87875,3.82421,3.8921,3.86541,3.83755,2.77211,3.86541,3.86541,3.8921,4.2339,3.8921,3.86541,3.86541,3.8921,4.13815,4.1515,3.8921,3.83755,4.0836,3.86541,4.1927,3.8921,4.2339,3.29091,3.79635,3.86541,4.2339,3.86541,3.8921,4.13815,3.8921,3.8921,3.86541,3.8921,3.8921,4.20605,4.2339,3.8921,3.8921,3.8921,4.2339,4.24725,3.87875,3.783,4.1515,4.2339,4.20605,4.2339,3.8921,3.87875,3.783,3.29091,3.8921,3.8921,4.2339,4.0012,3.8921,4.2339,3.86541,3.8921,3.86541,4.17935,4.1515,3.8921,3.87875,3.29091,3.8921,3.87875,3.86541
2022-09-01T09:30:00-00:00,3.85717,3.78988,3.85717,3.84394,3.81634,2.74723,3.84394,3.84394,3.85717,4.1959,3.85717,3.84394,3.84394,3.85717,4.10101,4.11424,3.85717,3.81634,4.04695,3.84394,4.15507,3.85717,4.1959,3.26137,3.7755,3.84394,4.1959,3.84394,3.85717,4.10101,3.85717,3.85717,3.84394,3.85717,3.85717,4.1959,4.1959,3.85717,3.85717,3.85717,4.1959,4.20913,3.85717,3.74905,4.11424,4.1959,4.1683,4.1959,3.85717,3.85717,3.74905,3.26137,3.8704,3.8704,4.1959,3.96529,3.85717,4.1959,3.84394,3.85717,3.84394,4.15507,4.11424,3.85717,3.85717,3.26137,3.85717,3.85717,3.84394
