,REEVES_1_REEVES3GNODE,TA3_7_CGTGGNODE,STUDIO_1_PROSPERITYGNODE,CLINESCO_3_ELCABOWF1GNODE,SANJUAN_3_SANJUAN4GNODE,CMFS_1_SOLA_CIMGNODE,FC_3_PNM_FCST4GNODE,ARROYO_1_ARROYOSOLARGNODE,LOSMORRO_1_FACEBOOK1PVGNODE,PDTYRONE_LNODERONE,MARQUEZ_1_CIBOLAPVGNODE,GUADALUP_3_ARAGONNEWFGNODE,LONEMESA_7_CASAMEBATTGNODE,LOSTHORZ_1_SANTOLINAPVGNODE,ALAMOGCP_1_OTEROPVGNODE,AFTON_3_AFTONSTGNODE,COLLEGE_1_VISTAPVGNODE,SANJUAN_3_SANJUAN1GNODE,ELBUTTE_1_ELBUTTEHYDROGNODE,PROGRESS_1_SANDOVALPVGNODE,LUNA_3_LEFGNODE,LOSMORRO_1_LOSLUNASPVGNODE,LORDBURG_1_GEN2GTGNODE,ARRIBA_1_SANMIGUEL1PVGNODE,STATEPEN_1_SANTAFEPVGNODE,CLINESCO_3_ELCABOWF2GNODE,PYGS_1_PYRAMID A3GNODE,TAIBANM_3_LONEMESAWFGNODE,PERSON_1_RIOBRAVOGNODE,ALAMOGCP_1_ALAMOPVGNODE,REDMESA_1_REDMESAWFGNODE,WILLARD_1_HIGHLONEWFGNODE,LAJOYA_3_LJOYA1GNODE,TOME_1_RIODELOROPVGNODE,LOSTHORZ_1_FACEBOOK2PVGNODE,IVANHOE_LNODENHOE,PYGS_1_PYRAMID A1GNODE,SCENIC_1_RIORANCHOPVGNODE,COLLEGE_1_MANZANOPVGNODE,BRITTON_1_BRITTONPVGNODE,PYGS_1_PYRAMID A4GNODE,SPRV_3_COAL_SPV3GNODE,REEVES_1_REEVES1GNODE,COYTEJCT_6_ABIQUIUHYDROGNODE,ALLN_1_ALLN SOLARGNODE,PYGS_1_PYRAMID A2GNODE,HURLEY_LNODERLEY,LORDBURG_1_GEN1GTGNODE,CIBOLA_1_ROUTE66GNODE,REEVES_1_REEVES2GNODE,SPILLS_6_ELVADOHYDROGNODE,ARRIBA_1_SANMIGUEL2PVGNODE,BELEN_1_LALUZGNODE,JARALES_1_RIOCOMMPVGNODE,LIGHTDOC_1_LIGHTNINGDGEOGNODE,FC_5_PNM_FCST5GNODE,LOSTHORZ_1_FACEBOOK3PVGNODE,MD1_LNODEMINE,LAJOYA_3_LJOYA2GNODE,TOME_1_VEFGTGNODE,LONEMESA_7_CASAMESAWFGNODE,HONDALE_1_DEMINGPVGNODE,AFTON_3_AFTONCTGNODE,S_COORS_1_SOUTHVALLEPVGNODE,REEVES_1_REEVESPVGNODE,ARRIBAT_1_LASVEGASPVGNODE,ELCERRO_1_MEADOWLAKEPVGNODE,RIOPUERC_3_ENCINOPVGNODE,ARROYO_1_ARROYOBATTERYGNODE
2022-09-01T07:00:00-00:00,104.23471,104.23471,104.23471,104.23471,104.23471,104.23471,104.23471,104.23471,104.23471,104.23471,104.23471,104.23471,104.23471,104.23471,104.23471,104.23471,104.23471,104.23471,104.23471,104.23471,104.23471,104.23471,104.23471,104.23471,104.23471,104.23471,104.23471,104.23471,104.23471,104.23471,104.23471,104.23471,104.23471,104.23471,104.23471,104.23471,104.23471,104.23471,104.23471,104.23471,104.23471,104.23471,104.23471,104.23471,104.23471,104.23471,104.23471,104.23471,104.23471,104.23471,104.23471,104.23471,104.23471,104.23471,104.23471,104.23471,104.23471,104.23471,104.23471,104.23471,104.23471,104.23471,104.23471,104.23471,104.23471,104.23471,104.23471,104.23471,104.23471
2022-09-01T07:15:00-00:00,125.55144,125.55144,125.55144,125.55144,125.55144,125.55144,125.55144,125.55144,125.55144,125.55144,125.55144,125.55144,125.55144,125.55144,125.55144,125.55144,125.55144,125.55144,125.55144,125.55144,125.55144,125.55144,125.55144,125.55144,125.55144,125.55144,125.55144,125.55144,125.55144,125.55144,125.55144,125.55144,125.55144,125.55144,125.55144,125.55144,125.55144,125.55144,125.55144,125.55144,125.55144,125.55144,125.55144,125.55144,125.55144,125.55144,125.55144,125.55144,125.55144,125.55144,125.55144,125.55144,125.55144,125.55144,125.55144,125.55144,125.55144,125.55144,125.55144,125.55144,125.55144,125.55144,125.55144,125.55144,125.55144,125.55144,125.55144,125.55144,125.55144
2022-09-01T07:30:00-00:00,119.03196,119.03196,119.03196,119.03196,119.03196,119.03196,119.03196,119.03196,119.03196,119.03196,119.03196,119.03196,119.03196,119.03196,119.03196,119.03196,119.03196,119.03196,119.03196,119.03196,119.03196,119.03196,119.03196,119.03196,119.03196,119.03196,119.03196,119.03196,119.03196,119.03196,119.03196,119.03196,119.03196,119.03196,119.03196,119.03196,119.03196,119.03196,119.03196,119.03196,119.03196,119.03196,119.03196,119.03196,119.03196,119.03196,119.03196,119.03196,119.03196,119.03196,119.03196,119.03196,119.03196,119.03196,119.03196,119.03196,119.03196,119.03196,119.03196,119.03196,119.03196,119.03196,119.03196,119.03196,119.03196,119.03196,119.03196,119.03196,119.03196
2022-09-01T07:45:00-00:00,109.12099,109.12099,109.12099,109.12099,109.12099,109.12099,109.12099,109.12099,109.12099,109.12099,109.12099,109.12099,109.12099,109.12099,109.12099,109.12099,109.12099,109.12099,109.12099,109.12099,109.12099,109.12099,109.12099,109.12099,109.12099,109.12099,109.12099,109.12099,109.12099,109.12099,109.12099,109.12099,109.12099,109.12099,109.12099,109.12099,109.12099,109.12099,109.12099,109.12099,109.12099,109.12099,109.12099,109.12099,109.12099,109.12099,109.12099,109.12099,109.12099,109.12099,109.12099,109.12099,109.12099,109.12099,109.12099,109.12099,109.12099,109.12099,109.12099,109.12099,109.12099,109.12099,109.12099,109.12099,109.12099,109.12099,109.12099,109.12099,109.12099
2022-09-01T08:00:00-00:00,115.5488,115.5488,115.5488,115.5488,115.5488,115.5488,115.5488,115.5488,115.5488,115.5488,115.5488,115.5488,115.5488,115.5488,115.5488,115.5488,115.5488,115.5488,115.5488,115.5488,115.5488,115.5488,115.5488,115.5488,115.5488,115.5488,115.5488,115.5488,115.5488,115.5488,115.5488,115.5488,115.5488,115.5488,115.5488,115.5488,115.5488,115.5488,115.5488,115.5488,115.5488,115.5488,115.5488,115.5488,115.5488,115.5488,115.5488,115.5488,115.5488,115.5488,115.5488,115.5488,115.5488,115.5488,115.5488,115.5488,115.5488,115.5488,115.5488,115.5488,115.5488,115.5488,115.5488,115.5488,115.5488,115.5488,115.5488,115.5488,115.5488
2022-09-01T08:15:00-00:00,115.53165,115.53165,115.53165,115.53165,115.53165,115.53165,115.53165,115.53165,115.53165,115.53165,115.53165,115.53165,115.53165,115.53165,115.53165,115.53165,115.53165,115.53165,115.53165,115.53165,115.53165,115.53165,115.53165,115.53165,115.53165,115.53165,115.53165,115.53165,115.53165,115.53165,115.53165,115.53165,115.53165,115.53165,115.53165,115.53165,115.53165,115.53165,115.53165,115.53165,115.53165,115.53165,115.53165,115.53165,115.53165,115.53165,115.53165,115.53165,115.53165,115.53165,115.53165,115.53165,115.53165,115.53165,115.53165,115.53165,115.53165,115.53165,115.53165,115.53165,115.53165,115.53165,115.53165,115.53165,115.53165,115.53165,115.53165,115.53165,115.53165
2022-09-01T08:30:00-00:00,111.11241,111.11241,111.11241,111.11241,111.11241,111.11241,111.11241,111.11241,111.11241,111.11241,111.11241,111.11241,111.11241,111.11241,111.11241,111.11241,111.11241,111.11241,111.11241,111.11241,111.11241,111.11241,111.11241,111.11241,111.11241,111.11241,111.11241,111.11241,111.11241,111.11241,111.11241,111.11241,111.11241,111.11241,111.11241,111.11241,111.11241,111.11241,111.11241,111.11241,111.11241,111.11241,111.11241,111.11241,111.11241,111.11241,111.11241,111.11241,111.11241,111.11241,111.11241,111.11241,111.11241,111.11241,111.11241,111.11241,111.11241,111.11241,111.11241,111.11241,111.11241,111.11241,111.11241,111.11241,111.11241,111.11241,111.11241,111.11241,111.11241
2022-09-01T08:45:00-00:00,98.7357,98.7357,98.7357,98.7357,98.7357,98.7357,98.7357,98.7357,98.7357,98.7357,98.7357,98.7357,98.7357,98.7357,98.7357,98.7357,98.7357,98.7357,98.7357,98.7357,98.7357,98.7357,98.7357,98.7357,98.7357,98.7357,98.7357,98.7357,98.7357,98.7357,98.7357,98.7357,98.7357,98.7357,98.7357,98.7357,98.7357,98.7357,98.7357,98.7357,98.7357,98.7357,98.7357,98.7357,98.7357,98.7357,98.7357,98.7357,98.7357,98.7357,98.7357,98.7357,98.7357,98.7357,98.7357,98.7357,98.7357,98.7357,98.7357,98.7357,98.7357,98.7357,98.7357,98.7357,98.7357,98.7357,98.7357,98.7357,98.7357
2022-09-01T09:00:00-00:00,99.73061,99.73061,99.73061,99.73061,99.73061,99.73061,99.73061,99.73061,99.73061,99.73061,99.73061,99.73061,99.73061,99.73061,99.73061,99.73061,99.73061,99.73061,99.73061,99.73061,99.73061,99.73061,99.73061,99.73061,99.73061,99.73061,99.73061,99.73061,99.73061,99.73061,99.73061,99.73061,99.73061,99.73061,99.73061,99.73061,99.73061,99.73061,99.73061,99.73061,99.73061,99.73061,99.73061,99.73061,99.73061,99.73061,99.73061,99.73061,99.73061,99.73061,99.73061,99.73061,99.73061,99.73061,99.73061,99.73061,99.73061,99.73061,99.73061,99.73061,99.73061,99.73061,99.73061,99.73061,99.73061,99.73061,99.73061,99.73061,99.73061
2022-09-01T09:15:00-00:00,98.30543,98.30543,98.30543,98.30543,98.30543,98.30543,98.30543,98.30543,98.30543,98.30543,98.30543,98.30543,98.30543,98.30543,98.30543,98.30543,98.30543,98.30543,98.30543,98.30543,98.30543,98.30543,98.30543,98.30543,98.30543,98.30543,98.30543,98.30543,98.30543,98.30543,98.30543,98.30543,98.30543,98.30543,98.30543,98.30543,98.30543,98.30543,98.30543,98.30543,98.30543,98.30543,98.30543,98.30543,98.30543,98.30543,98.30543,98.30543,98.30543,98.30543,98.30543,98.30543,98.30543,98.30543,98.30543,98.30543,98.30543,98.30543,98.30543,98.30543,98.30543,98.30543,98.30543,98.30543,98.30543,98.30543,98.30543,98.30543,98.30543
