,REEVES_1_REEVES3GNODE,TA3_7_CGTGGNODE,STUDIO_1_PROSPERITYGNODE,CLINESCO_3_ELCABOWF1GNODE,SANJUAN_3_SANJUAN4GNODE,CMFS_1_SOLA_CIMGNODE,FC_3_PNM_FCST4GNODE,ARROYO_1_ARROYOSOLARGNODE,LOSMORRO_1_FACEBOOK1PVGNODE,PDTYRONE_LNODERONE,MARQUEZ_1_CIBOLAPVGNODE,GUADALUP_3_ARAGONNEWFGNODE,LONEMESA_7_CASAMEBATTGNODE,LOSTHORZ_1_SANTOLINAPVGNODE,ALAMOGCP_1_OTEROPVGNODE,AFTON_3_AFTONSTGNODE,COLLEGE_1_VISTAPVGNODE,SANJUAN_3_SANJUAN1GNODE,ELBUTTE_1_ELBUTTEHYDROGNODE,PROGRESS_1_SANDOVALPVGNODE,LUNA_3_LEFGNODE,LOSMORRO_1_LOSLUNASPVGNODE,LORDBURG_1_GEN2GTGNODE,ARRIBA_1_SANMIGUEL1PVGNODE,STATEPEN_1_SANTAFEPVGNODE,CLINESCO_3_ELCABOWF2GNODE,PYGS_1_PYRAMID A3GNODE,TAIBANM_3_LONEMESAWFGNODE,PERSON_1_RIOBRAVOGNODE,ALAMOGCP_1_ALAMOPVGNODE,REDMESA_1_REDMESAWFGNODE,WILLARD_1_HIGHLONEWFGNODE,LAJOYA_3_LJOYA1GNODE,TOME_1_RIODELOROPVGNODE,LOSTHORZ_1_FACEBOOK2PVGNODE,IVANHOE_LNODENHOE,PYGS_1_PYRAMID A1GNODE,SCENIC_1_RIORANCHOPVGNODE,COLLEGE_1_MANZANOPVGNODE,BRITTON_1_BRITTONPVGNODE,PYGS_1_PYRAMID A4GNODE,SPRV_3_COAL_SPV3GNODE,REEVES_1_REEVES1GNODE,COYTEJCT_6_ABIQUIUHYDROGNODE,ALLN_1_ALLN SOLARGNODE,PYGS_1_PYRAMID A2GNODE,HURLEY_LNODERLEY,LORDBURG_1_GEN1GTGNODE,CIBOLA_1_ROUTE66GNODE,REEVES_1_REEVES2GNODE,SPILLS_6_ELVADOHYDROGNODE,ARRIBA_1_SANMIGUEL2PVGNODE,BELEN_1_LALUZGNODE,JARALES_1_RIOCOMMPVGNODE,LIGHTDOC_1_LIGHTNINGDGEOGNODE,FC_5_PNM_FCST5GNODE,LOSTHORZ_1_FACEBOOK3PVGNODE,MD1_LNODEMINE,LAJOYA_3_LJOYA2GNODE,TOME_1_VEFGTGNODE,LONEMESA_7_CASAMESAWFGNODE,HONDALE_1_DEMINGPVGNODE,AFTON_3_AFTONCTGNODE,S_COORS_1_SOUTHVALLEPVGNODE,REEVES_1_REEVESPVGNODE,ARRIBAT_1_LASVEGASPVGNODE,ELCERRO_1_MEADOWLAKEPVGNODE,RIOPUERC_3_ENCINOPVGNODE,ARROYO_1_ARROYOBATTERYGNODE
2022-09-01T07:00:00-00:00,-0.68659,-1.067,-0.77937,-4.41644,-3.62779,-5.27004,-3.47006,-8.77721,1.68864,4.24943,-1.42885,-3.89686,0.0,-0.64948,2.37523,0.2969,0.79793,-3.62779,2.27317,-1.37318,0.31546,1.68864,-0.11134,-1.5773,-1.40101,-4.40716,0.81648,0.0,-3.18243,2.37523,-1.45668,0.95566,-3.74841,1.067,-0.64948,5.40921,0.81648,-1.1505,0.79793,1.39173,0.81648,-2.22678,-0.47319,4.96385,1.16906,0.81648,4.1752,-0.11134,-0.38041,-0.47319,17.34101,-1.5773,1.24328,1.20617,0.53814,-3.18243,-0.64948,5.8824,-3.74841,1.067,0.0,0.35257,-0.09278,-0.78865,-0.68659,-1.59586,0.44536,-2.0041,-8.77721
2022-09-01T07:15:00-00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-01T07:30:00-00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-01T07:45:00-00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-01T08:00:00-00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-01T08:15:00-00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-01T08:30:00-00:00,-2.85107,-3.16893,-1.97456,-6.84835,-5.35539,-6.42454,-5.22054,-5.21091,0.70314,3.00518,-3.57347,-6.9832,-8.97702,-2.87034,0.59718,-1.61818,-0.0289,-5.35539,0.97283,-3.72758,-1.4159,0.70314,-1.46406,-2.92813,-3.93949,-6.83872,-0.53939,-8.97702,-1.82045,0.59718,-3.60237,0.58755,-6.19338,0.30822,-2.87034,4.19955,-0.53939,-3.35194,-0.0289,0.28896,-0.53939,-3.29414,-2.6777,0.9632,-0.34675,-0.53939,2.87997,-1.46406,-2.87034,-2.6777,12.5505,-2.92813,0.50086,0.46234,-0.87651,-4.88342,-2.87034,4.73894,-6.19338,0.30822,-8.97702,-1.27142,-2.01309,-2.54285,-2.85107,-2.94739,-0.47197,-4.28624,-5.21091
2022-09-01T08:45:00-00:00,-2.01464,-2.33362,-1.25076,-5.53186,-4.27271,-5.85924,-4.15519,-4.1384,0.99893,3.56759,-2.77013,-5.65778,-7.42059,-2.05661,1.30112,-0.63797,0.45329,-4.27271,1.40185,-2.78692,-0.45329,0.99893,0.48687,-2.661,-3.03035,-5.52347,0.48687,-7.42059,-1.11645,1.30112,-2.83728,0.92338,-4.96105,0.7471,-2.05661,4.60009,0.48687,-2.45954,0.45329,0.61279,0.48687,-2.35041,-1.87194,1.0325,0.36935,0.48687,3.41649,0.48687,-2.04822,-1.87194,10.62722,-2.661,0.8898,0.87301,0.13431,-3.853,-2.05661,4.94426,-4.96105,0.7471,-7.42059,-0.35256,-0.98214,-1.76281,-2.01464,-2.6694,0.05876,-3.28218,-4.1384
2022-09-01T09:00:00-00:00,-2.20643,-2.48661,-1.41842,-5.97138,-4.74558,-6.26907,-4.61424,-4.59673,0.5341,4.0101,-3.01195,-6.06769,-7.8626,-2.24145,1.82118,-0.33272,-0.02627,-4.73682,1.47971,-3.05573,-0.17511,0.5341,0.73548,-2.81933,-3.16956,-5.95386,0.75299,-7.8626,-1.27833,1.82118,-3.09076,0.54285,-5.34972,0.18387,-2.24145,5.10456,0.75299,-2.67048,-0.02627,0.41152,0.75299,-2.56542,-2.06634,1.0857,0.56912,0.75299,3.87001,0.73548,-2.30274,-2.06634,11.88146,-2.81933,0.32396,0.29769,0.39401,-4.29028,-2.24145,5.48981,-5.34972,0.18387,-7.8626,-0.02627,-0.70045,-1.95252,-2.20643,-2.83684,-0.32396,-3.56356,-4.59673
2022-09-01T09:15:00-00:00,-2.07538,-2.34234,-1.30895,-5.72668,-4.57273,-5.98502,-4.45217,-4.43494,0.57697,4.04743,-2.8332,-5.79557,-7.56093,-2.10983,1.92899,-0.18945,0.03445,-4.57273,1.53285,-2.89348,-0.05167,0.57697,0.82671,-2.65236,-3.00543,-5.70945,0.84393,-7.56093,-1.17117,1.92899,-2.89348,0.53392,-5.12387,0.23251,-2.10983,5.12387,0.84393,-2.53179,0.03445,0.43919,0.84393,-2.45429,-1.9376,1.10228,0.6717,0.84393,3.90964,0.82671,-2.17011,-1.9376,11.5653,-2.65236,0.3703,0.34446,0.49086,-4.14215,-2.10983,5.49416,-5.12387,0.23251,-7.56093,0.09473,-0.55114,-1.82565,-2.07538,-2.66097,-0.25835,-3.39295,-4.43494
