INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,PRC,OPR_INTERVAL,GROUP
2022-09-01T07:00:00-00:00,2022-09-01T07:15:00-00:00,2022-09-01,01,SPILLS_6_ELVADOHYDROGNODE,SPILLS_6_ELVADOHYDROGNODE,SPILLS_6_ELVADOHYDROGNODE,RTPD,LMP,LMP_PRC,SPILLS_6_ELVADOHYDROGNODE,ALL,1,124.0992,1,1
2022-09-01T08:00:00-00:00,2022-09-01T08:15:00-00:00,2022-09-01,02,SPILLS_6_ELVADOHYDROGNODE,SPILLS_6_ELVADOHYDROGNODE,SPILLS_6_ELVADOHYDROGNODE,RTPD,LMP,LMP_PRC,SPILLS_6_ELVADOHYDROGNODE,ALL,1,103.55932,1,1
2022-09-01T09:00:00-00:00,2022-09-01T09:15:00-00:00,2022-09-01,03,SPILLS_6_ELVADOHYDROGNODE,SPILLS_6_ELVADOHYDROGNODE,SPILLS_6_ELVADOHYDROGNODE,RTPD,LMP,LMP_PRC,SPILLS_6_ELVADOHYDROGNODE,ALL,1,102.30958,1,1
2022-09-01T10:00:00-00:00,2022-09-01T10:15:00-00:00,2022-09-01,04,SPILLS_6_ELVADOHYDROGNODE,SPILLS_6_ELVADOHYDROGNODE,SPILLS_6_ELVADOHYDROGNODE,RTPD,LMP,LMP_PRC,SPILLS_6_ELVADOHYDROGNODE,ALL,1,98.7898,1,1
2022-09-01T11:00:00-00:00,2022-09-01T11:15:00-00:00,2022-09-01,05,SPILLS_6_ELVADOHYDROGNODE,SPILLS_6_ELVADOHYDROGNODE,SPILLS_6_ELVADOHYDROGNODE,RTPD,LMP,LMP_PRC,SPILLS_6_ELVADOHYDROGNODE,ALL,1,105.81259,1,1
2022-09-01T12:00:00-00:00,2022-09-01T12:15:00-00:00,2022-09-01,06,SPILLS_6_ELVADOHYDROGNODE,SPILLS_6_ELVADOHYDROGNODE,SPILLS_6_ELVADOHYDROGNODE,RTPD,LMP,LMP_PRC,SPILLS_6_ELVADOHYDROGNODE,ALL,1,106.89399,1,1
2022-09-01T13:00:00-00:00,2022-09-01T13:15:00-00:00,2022-09-01,07,SPILLS_6_ELVADOHYDROGNODE,SPILLS_6_ELVADOHYDROGNODE,SPILLS_6_ELVADOHYDROGNODE,RTPD,LMP,LMP_PRC,SPILLS_6_ELVADOHYDROGNODE,ALL,1,95.97673,1,1
2022-09-01T14:00:00-00:00,2022-09-01T14:15:00-00:00,2022-09-01,08,SPILLS_6_ELVADOHYDROGNODE,SPILLS_6_ELVADOHYDROGNODE,SPILLS_6_ELVADOHYDROGNODE,RTPD,LMP,LMP_PRC,SPILLS_6_ELVADOHYDROGNODE,ALL,1,143.38783,1,1
2022-09-01T15:00:00-00:00,2022-09-01T15:15:00-00:00,2022-09-01,09,SPILLS_6_ELVADOHYDROGNODE,SPILLS_6_ELVADOHYDROGNODE,SPILLS_6_ELVADOHYDROGNODE,RTPD,LMP,LMP_PRC,SPILLS_6_ELVADOHYDROGNODE,ALL,1,40.41804,1,1
2022-09-01T16:00:00-00:00,2022-09-01T16:15:00-00:00,2022-09-01,10,SPILLS_6_ELVADOHYDROGNODE,SPILLS_6_ELVADOHYDROGNODE,SPILLS_6_ELVADOHYDROGNODE,RTPD,LMP,LMP_PRC,SPILLS_6_ELVADOHYDROGNODE,ALL,1,37.28255,1,1
2022-09-01T17:00:00-00:00,2022-09-01T17:15:00-00:00,2022-09-01,11,SPILLS_6_ELVADOHYDROGNODE,SPILLS_6_ELVADOHYDROGNODE,SPILLS_6_ELVADOHYDROGNODE,RTPD,LMP,LMP_PRC,SPILLS_6_ELVADOHYDROGNODE,ALL,1,67.13655,1,1
