,TOME_1_VEFGTGNODE,SPILLS_6_ELVADOHYDROGNODE,PERSON_1_RIOBRAVOGNODE,REEVES_1_REEVES3GNODE,ARRIBA_1_SANMIGUEL2PVGNODE,ARROYO_1_ARROYOSOLARGNODE,ELBUTTE_1_ELBUTTEHYDROGNODE,TAIBANM_3_LONEMESAWFGNODE,JARALES_1_RIOCOMMPVGNODE,HONDALE_1_DEMINGPVGNODE,S_COORS_1_SOUTHVALLEPVGNODE,SANJUAN_3_SANJUAN1GNODE,LUNA_3_LEFGNODE,FC_3_PNM_FCST4GNODE,LIGHTDOC_1_LIGHTNINGDGEOGNODE,LOSTHORZ_1_FACEBOOK3PVGNODE,LORDBURG_1_GEN1GTGNODE,ALAMOGCP_1_ALAMOPVGNODE,ARRIBAT_1_LASVEGASPVGNODE,TA3_7_CGTGGNODE,LOSMORRO_1_LOSLUNASPVGNODE,ALAMOGCP_1_OTEROPVGNODE,COYTEJCT_6_ABIQUIUHYDROGNODE,AFTON_3_AFTONCTGNODE,PYGS_1_PYRAMID A3GNODE,BRITTON_1_BRITTONPVGNODE,CLINESCO_3_ELCABOWF2GNODE,REEVES_1_REEVES2GNODE,PYGS_1_PYRAMID A2GNODE,LOSTHORZ_1_SANTOLINAPVGNODE,BELEN_1_LALUZGNODE,LAJOYA_3_LJOYA2GNODE,FC_5_PNM_FCST5GNODE,COLLEGE_1_VISTAPVGNODE,WILLARD_1_HIGHLONEWFGNODE,LONEMESA_7_CASAMESAWFGNODE,STATEPEN_1_SANTAFEPVGNODE,GUADALUP_3_ARAGONNEWFGNODE,HURLEY_LNODERLEY,LONEMESA_7_CASAMEBATTGNODE,AFTON_3_AFTONSTGNODE,LOSTHORZ_1_FACEBOOK2PVGNODE,TOME_1_RIODELOROPVGNODE,LORDBURG_1_GEN2GTGNODE,PYGS_1_PYRAMID A4GNODE,SANJUAN_3_SANJUAN4GNODE,PYGS_1_PYRAMID A1GNODE,REEVES_1_REEVESPVGNODE,MARQUEZ_1_CIBOLAPVGNODE,CIBOLA_1_ROUTE66GNODE,REEVES_1_REEVES1GNODE,ELCERRO_1_MEADOWLAKEPVGNODE,LAJOYA_3_LJOYA1GNODE,COLLEGE_1_MANZANOPVGNODE,PDTYRONE_LNODERONE,ARRIBA_1_SANMIGUEL1PVGNODE,SPRV_3_COAL_SPV3GNODE,CLINESCO_3_ELCABOWF1GNODE,MD1_LNODEMINE,REDMESA_1_REDMESAWFGNODE,CMFS_1_SOLA_CIMGNODE,RIOPUERC_3_ENCINOPVGNODE,PROGRESS_1_SANDOVALPVGNODE,ARROYO_1_ARROYOBATTERYGNODE,SCENIC_1_RIORANCHOPVGNODE,ALLN_1_ALLN SOLARGNODE,LOSMORRO_1_FACEBOOK1PVGNODE,IVANHOE_LNODENHOE,STUDIO_1_PROSPERITYGNODE
2022-09-01T07:00:00-00:00,108.78934,124.0992,104.21511,106.63297,101.50306,99.03075,110.45867,107.56376,108.92852,108.93323,106.60889,103.85536,109.05603,104.3379,109.4373,106.90798,108.78782,110.7973,101.4845,106.09398,109.2461,110.7973,111.72204,108.65409,109.71564,108.78928,103.1566,106.84637,109.71564,106.90798,108.96563,103.81536,105.99117,108.35539,108.43316,107.56376,105.43516,103.6669,112.83647,107.56376,109.04378,106.90798,108.78934,108.78782,109.71564,103.85536,109.71564,106.63297,106.12861,107.34194,106.84637,108.00281,103.81536,108.35539,112.91069,101.50306,106.75036,103.14732,114.54366,106.10078,92.39513,105.55966,105.94638,99.03075,106.24704,109.59113,109.2461,114.07047,106.61817
2022-09-01T07:15:00-00:00,118.2841,118.1001,118.23908,118.23908,117.27011,118.23908,118.60709,118.23908,118.2841,118.74608,118.23908,118.16959,118.76859,118.23908,118.86059,118.26159,118.86059,118.67659,117.27011,118.16959,118.2841,118.67659,118.1001,118.6991,118.86059,118.23908,118.23908,118.23908,118.86059,118.26159,118.2841,118.23908,118.42309,118.2841,118.26159,118.23908,118.1001,118.23908,118.7911,118.23908,118.6991,118.26159,118.2841,118.86059,118.86059,118.16959,118.86059,118.23908,118.2841,118.2841,118.23908,118.2841,118.23908,118.2841,118.81557,117.27011,118.86059,118.23908,118.81557,118.2841,116.39509,118.23908,118.23908,118.23908,118.23908,118.67659,118.2841,118.7911,118.23908
2022-09-01T07:30:00-00:00,115.19147,114.8927,115.11519,115.11519,113.50855,115.11519,115.71589,115.07864,115.19147,115.93837,115.11519,115.04209,115.9781,115.11519,116.0512,115.15491,116.0512,115.82554,113.50855,114.92926,115.15491,115.82554,114.8927,115.86527,116.0512,115.11519,115.07864,115.11519,116.0512,115.15491,115.22802,115.07864,115.45368,115.15491,115.15491,115.07864,114.92926,115.07864,116.01465,115.07864,115.86527,115.15491,115.19147,116.0512,116.0512,115.04209,116.0512,115.11519,115.15491,115.19147,115.11519,115.15491,115.07864,115.15491,116.0512,113.50855,116.12748,115.07864,116.0512,115.15491,112.08467,115.11519,115.11519,115.11519,115.11519,115.86527,115.15491,116.0512,115.11519
2022-09-01T07:45:00-00:00,107.26751,106.92697,107.18419,107.18419,105.39092,107.18419,107.86526,107.1389,107.26751,108.12248,107.18419,107.05558,108.16414,107.18419,108.29275,107.18419,108.29275,107.99387,105.39092,107.05558,107.26751,107.99387,106.92697,108.03553,108.29275,107.18419,107.1389,107.18419,108.29275,107.18419,107.26751,107.1389,107.52473,107.26751,107.18419,107.1389,106.92697,107.1389,108.2058,107.1389,108.03553,107.18419,107.26751,108.29275,108.29275,107.05558,108.29275,107.18419,107.22585,107.26751,107.18419,107.22585,107.1389,107.26751,108.2058,105.39092,108.33441,107.1389,108.2058,107.22585,103.77155,107.18419,107.18419,107.18419,107.18419,107.99387,107.26751,108.2058,107.18419
2022-09-01T08:00:00-00:00,103.62112,103.55932,103.606,103.606,103.28057,103.606,103.7296,103.59778,103.62112,103.77628,103.606,103.58266,103.78384,103.606,103.81474,103.62112,103.81474,103.75294,103.28057,103.58266,103.62112,103.75294,103.55932,103.76806,103.81474,103.606,103.59778,103.606,103.81474,103.62112,103.62112,103.59778,103.6678,103.62112,103.61356,103.59778,103.55932,103.59778,103.7914,103.59778,103.76806,103.62112,103.62112,103.81474,103.81474,103.58266,103.81474,103.606,103.62112,103.62112,103.606,103.62112,103.59778,103.62112,103.7914,103.28057,103.81474,103.59778,103.7914,103.62112,102.98669,103.606,103.606,103.606,103.606,103.75294,103.62112,103.7914,103.606
2022-09-01T08:15:00-00:00,101.38104,101.36417,101.37691,101.37691,101.28808,101.37467,101.41065,101.37467,101.38104,101.42115,101.37691,101.37054,101.42545,101.37467,101.43182,101.37898,101.43182,101.41702,101.28808,101.3683,101.38104,101.41702,101.36417,101.41908,101.43182,101.37691,101.37467,101.37691,101.43182,101.37898,101.38104,101.37467,101.39378,101.38104,101.37691,101.37467,101.36417,101.37467,101.42752,101.37467,101.41908,101.37898,101.38104,101.43182,101.43182,101.37054,101.43182,101.37691,101.37898,101.38104,101.37691,101.37898,101.37467,101.38104,101.42752,101.28808,101.43389,101.37467,101.42752,101.38104,101.20787,101.37467,101.37467,101.37467,101.37691,101.41702,101.38104,101.42752,101.37691
2022-09-01T08:30:00-00:00,96.6288,108.87106,94.50013,93.4695,93.39236,91.10966,97.29344,87.34355,96.78292,95.0492,93.77773,90.96518,94.90472,91.10003,95.44412,93.45024,94.85657,96.9178,93.3731,93.15164,97.02372,96.9178,97.28376,94.30753,95.78124,96.60954,89.48185,93.64288,95.78124,93.45024,96.82144,90.1272,91.43717,96.29168,96.90813,87.34355,92.38108,89.33737,99.20059,87.34355,94.70244,93.45024,96.6288,94.85657,95.78124,90.96518,95.78124,93.4695,92.74711,93.45024,93.64288,95.84861,90.1272,96.29168,99.32581,93.39236,93.02649,89.47222,101.05957,92.71821,89.89587,92.03433,92.59299,91.10966,92.96864,95.97386,97.02372,100.52018,94.34602
2022-09-01T08:45:00-00:00,87.6561,97.4531,85.77222,84.87403,83.7899,82.73921,88.45678,79.45702,87.78202,86.76515,85.12586,82.58456,86.67459,82.72242,87.29359,84.83205,87.64615,88.38744,83.78151,84.50242,87.89776,88.38744,87.85838,86.11435,87.64615,87.50145,81.35414,85.01673,87.64615,84.83205,87.7988,81.91656,83.1188,87.35213,87.81204,79.45702,83.79552,81.21983,90.55455,79.45702,86.45852,84.83205,87.6561,87.64615,87.64615,82.58456,87.64615,84.87403,84.11854,84.86079,85.01673,86.94743,81.91656,87.35213,90.70565,83.7899,84.81904,81.34575,92.08232,84.06155,80.19635,83.59543,84.09069,82.73921,84.42913,87.45567,87.89776,91.73815,85.63791
2022-09-01T09:00:00-00:00,90.69479,102.30958,89.22246,88.28423,87.23528,85.89393,92.13598,82.61704,90.80861,90.69254,88.54827,85.72256,90.56396,85.87641,91.16435,88.26946,91.50582,92.50872,87.21777,87.97277,91.04502,92.50872,91.51382,90.00735,91.52333,90.90218,84.52578,88.42432,91.52333,88.26946,90.83488,85.12993,86.28318,90.48465,91.05377,82.61704,87.25856,84.41196,94.60908,82.61704,90.37508,88.26946,90.69479,91.50582,91.52333,85.71381,91.52333,88.28423,87.49896,88.20817,88.42432,90.18696,85.12993,90.48465,94.75931,87.23528,88.20493,84.50827,96.23902,87.42016,83.39178,86.9271,87.42391,85.89393,87.82018,91.26679,91.04502,95.84364,89.08237
2022-09-01T09:15:00-00:00,90.24004,101.46374,88.83636,87.9188,86.75398,85.54589,91.73189,82.4199,90.35199,90.38951,88.18188,85.38025,90.25646,85.52867,90.84019,87.8977,91.17604,92.18257,86.74537,87.5973,90.5845,92.18257,91.00071,89.71579,91.19326,90.44672,84.27138,88.05659,91.19326,87.8977,90.37783,84.85697,85.97448,90.04198,90.54145,82.4199,86.90635,84.18527,94.23112,82.4199,90.07747,87.8977,90.24004,91.17604,91.19326,85.38025,91.19326,87.9188,87.17433,87.83742,88.05659,89.74918,84.85697,90.04198,94.39675,86.75398,87.90839,84.25416,95.84349,87.11405,82.90252,86.60124,87.08736,85.54589,87.47574,90.93863,90.5845,95.44534,88.69858
