,TOME_1_VEFGTGNODE,SPILLS_6_ELVADOHYDROGNODE,PERSON_1_RIOBRAVOGNODE,REEVES_1_REEVES3GNODE,ARRIBA_1_SANMIGUEL2PVGNODE,ARROYO_1_ARROYOSOLARGNODE,ELBUTTE_1_ELBUTTEHYDROGNODE,TAIBANM_3_LONEMESAWFGNODE,JARALES_1_RIOCOMMPVGNODE,HONDALE_1_DEMINGPVGNODE,S_COORS_1_SOUTHVALLEPVGNODE,SANJUAN_3_SANJUAN1GNODE,LUNA_3_LEFGNODE,FC_3_PNM_FCST4GNODE,LIGHTDOC_1_LIGHTNINGDGEOGNODE,LOSTHORZ_1_FACEBOOK3PVGNODE,LORDBURG_1_GEN1GTGNODE,ALAMOGCP_1_ALAMOPVGNODE,ARRIBAT_1_LASVEGASPVGNODE,TA3_7_CGTGGNODE,LOSMORRO_1_LOSLUNASPVGNODE,ALAMOGCP_1_OTEROPVGNODE,COYTEJCT_6_ABIQUIUHYDROGNODE,AFTON_3_AFTONCTGNODE,PYGS_1_PYRAMID A3GNODE,BRITTON_1_BRITTONPVGNODE,CLINESCO_3_ELCABOWF2GNODE,REEVES_1_REEVES2GNODE,PYGS_1_PYRAMID A2GNODE,LOSTHORZ_1_SANTOLINAPVGNODE,BELEN_1_LALUZGNODE,LAJOYA_3_LJOYA2GNODE,FC_5_PNM_FCST5GNODE,COLLEGE_1_VISTAPVGNODE,WILLARD_1_HIGHLONEWFGNODE,LONEMESA_7_CASAMESAWFGNODE,STATEPEN_1_SANTAFEPVGNODE,GUADALUP_3_ARAGONNEWFGNODE,HURLEY_LNODERLEY,LONEMESA_7_CASAMEBATTGNODE,AFTON_3_AFTONSTGNODE,LOSTHORZ_1_FACEBOOK2PVGNODE,TOME_1_RIODELOROPVGNODE,LORDBURG_1_GEN2GTGNODE,PYGS_1_PYRAMID A4GNODE,SANJUAN_3_SANJUAN4GNODE,PYGS_1_PYRAMID A1GNODE,REEVES_1_REEVESPVGNODE,MARQUEZ_1_CIBOLAPVGNODE,CIBOLA_1_ROUTE66GNODE,REEVES_1_REEVES1GNODE,ELCERRO_1_MEADOWLAKEPVGNODE,LAJOYA_3_LJOYA1GNODE,COLLEGE_1_MANZANOPVGNODE,PDTYRONE_LNODERONE,ARRIBA_1_SANMIGUEL1PVGNODE,SPRV_3_COAL_SPV3GNODE,CLINESCO_3_ELCABOWF1GNODE,MD1_LNODEMINE,REDMESA_1_REDMESAWFGNODE,CMFS_1_SOLA_CIMGNODE,RIOPUERC_3_ENCINOPVGNODE,PROGRESS_1_SANDOVALPVGNODE,ARROYO_1_ARROYOBATTERYGNODE,SCENIC_1_RIORANCHOPVGNODE,ALLN_1_ALLN SOLARGNODE,LOSMORRO_1_FACEBOOK1PVGNODE,IVANHOE_LNODENHOE,STUDIO_1_PROSPERITYGNODE
2022-09-01T07:00:00-00:00,14.93764,13.97348,14.61283,14.53486,10.29565,15.02325,15.4008,14.77905,14.93764,15.79595,14.61283,14.69845,15.95587,15.02325,16.11445,14.77275,16.11445,15.63736,10.29565,14.37627,14.77275,15.63736,13.97348,15.96217,16.11445,14.61283,14.77905,14.53486,16.11445,14.77275,14.93764,14.77905,16.3889,14.77275,14.69279,14.77905,14.05146,14.77905,15.87656,14.77905,15.96217,14.77275,14.93764,16.11445,16.11445,14.69845,16.11445,14.53486,14.77275,14.93764,14.53486,14.77275,14.77905,14.77275,15.87656,10.29565,16.19243,14.77905,15.87656,14.77275,4.88046,14.77905,14.53486,15.02325,14.61283,15.63736,14.77275,15.87656,14.61283
2022-09-01T07:15:00-00:00,6.49266,6.30866,6.44764,6.44764,5.47867,6.44764,6.81565,6.44764,6.49266,6.95464,6.44764,6.37815,6.97715,6.44764,7.06915,6.47015,7.06915,6.88515,5.47867,6.37815,6.49266,6.88515,6.30866,6.90766,7.06915,6.44764,6.44764,6.44764,7.06915,6.47015,6.49266,6.44764,6.63165,6.49266,6.47015,6.44764,6.30866,6.44764,6.99966,6.44764,6.90766,6.47015,6.49266,7.06915,7.06915,6.37815,7.06915,6.44764,6.49266,6.49266,6.44764,6.49266,6.44764,6.49266,7.02413,5.47867,7.06915,6.44764,7.02413,6.49266,4.60365,6.44764,6.44764,6.44764,6.44764,6.88515,6.49266,6.99966,6.44764
2022-09-01T07:30:00-00:00,10.6195,10.32074,10.54322,10.54322,8.93659,10.54322,11.14392,10.50667,10.6195,11.36641,10.54322,10.47012,11.40613,10.54322,11.47924,10.58295,11.47924,11.25358,8.93659,10.35729,10.58295,11.25358,10.32074,11.2933,11.47924,10.54322,10.50667,10.54322,11.47924,10.58295,10.65605,10.50667,10.88171,10.58295,10.58295,10.50667,10.35729,10.50667,11.44268,10.50667,11.2933,10.58295,10.6195,11.47924,11.47924,10.47012,11.47924,10.54322,10.58295,10.6195,10.54322,10.58295,10.50667,10.58295,11.47924,8.93659,11.55551,10.50667,11.47924,10.58295,7.51271,10.54322,10.54322,10.54322,10.54322,11.2933,10.58295,11.47924,10.54322
2022-09-01T07:45:00-00:00,12.14652,11.80598,12.0632,12.0632,10.26993,12.0632,12.74428,12.01792,12.14652,13.00149,12.0632,11.93459,13.04316,12.0632,13.17176,12.0632,13.17176,12.87289,10.26993,11.93459,12.14652,12.87289,11.80598,12.91455,13.17176,12.0632,12.01792,12.0632,13.17176,12.0632,12.14652,12.01792,12.40374,12.14652,12.0632,12.01792,11.80598,12.01792,13.08482,12.01792,12.91455,12.0632,12.14652,13.17176,13.17176,11.93459,13.17176,12.0632,12.10486,12.14652,12.0632,12.10486,12.01792,12.14652,13.08482,10.26993,13.21343,12.01792,13.08482,12.10486,8.65056,12.0632,12.0632,12.0632,12.0632,12.87289,12.14652,13.08482,12.0632
2022-09-01T08:00:00-00:00,2.20233,2.14053,2.18721,2.18721,1.86177,2.18721,2.3108,2.17899,2.20233,2.35748,2.18721,2.16387,2.36504,2.18721,2.39594,2.20233,2.39594,2.33414,1.86177,2.16387,2.20233,2.33414,2.14053,2.34926,2.39594,2.18721,2.17899,2.18721,2.39594,2.20233,2.20233,2.17899,2.249,2.20233,2.19477,2.17899,2.14053,2.17899,2.3726,2.17899,2.34926,2.20233,2.20233,2.39594,2.39594,2.16387,2.39594,2.18721,2.20233,2.20233,2.18721,2.20233,2.17899,2.20233,2.3726,1.86177,2.39594,2.17899,2.3726,2.20233,1.5679,2.18721,2.18721,2.18721,2.18721,2.33414,2.20233,2.3726,2.18721
2022-09-01T08:15:00-00:00,0.59939,0.58252,0.59526,0.59526,0.50643,0.59302,0.629,0.59302,0.59939,0.6395,0.59526,0.58889,0.6438,0.59302,0.65018,0.59733,0.65018,0.63537,0.50643,0.58665,0.59939,0.63537,0.58252,0.63743,0.65018,0.59526,0.59302,0.59526,0.65018,0.59733,0.59939,0.59302,0.61213,0.59939,0.59526,0.59302,0.58252,0.59302,0.64587,0.59302,0.63743,0.59733,0.59939,0.65018,0.65018,0.58889,0.65018,0.59526,0.59733,0.59939,0.59526,0.59733,0.59302,0.59939,0.64587,0.50643,0.65224,0.59302,0.64587,0.59939,0.42622,0.59302,0.59302,0.59302,0.59526,0.63537,0.59939,0.64587,0.59526
2022-09-01T08:30:00-00:00,-0.00183,-0.00185,-0.00183,-0.00183,-0.00192,-0.00184,-0.0018,-0.00184,-0.00183,-0.00179,-0.00183,-0.00184,-0.00179,-0.00184,-0.00178,-0.00183,-0.00178,-0.0018,-0.00192,-0.00184,-0.00183,-0.0018,-0.00185,-0.00179,-0.00178,-0.00183,-0.00184,-0.00183,-0.00178,-0.00183,-0.00183,-0.00184,-0.00182,-0.00183,-0.00183,-0.00184,-0.00185,-0.00184,-0.00179,-0.00184,-0.00179,-0.00183,-0.00183,-0.00178,-0.00178,-0.00184,-0.00178,-0.00183,-0.00183,-0.00183,-0.00183,-0.00183,-0.00184,-0.00183,-0.00179,-0.00192,-0.00178,-0.00184,-0.00179,-0.00183,-0.00199,-0.00184,-0.00184,-0.00184,-0.00183,-0.0018,-0.00183,-0.00179,-0.00183
2022-09-01T08:45:00-00:00,2.96331,2.88018,2.94297,2.94297,2.50521,2.93191,3.10923,2.93191,2.96331,3.17202,2.94297,2.91157,3.18219,2.93191,3.21358,2.94297,3.21358,3.14062,2.50521,2.89035,2.95314,3.14062,2.88018,3.15079,3.21358,2.94297,2.93191,2.94297,3.21358,2.94297,2.96331,2.93191,3.0261,2.95314,2.94297,2.93191,2.88018,2.93191,3.19236,2.93191,3.15079,2.94297,2.96331,3.21358,3.21358,2.91157,3.21358,2.94297,2.94297,2.96331,2.94297,2.94297,2.93191,2.95314,3.19236,2.50521,3.22375,2.93191,3.19236,2.95314,2.1099,2.93191,2.93191,2.93191,2.94297,3.14062,2.95314,3.19236,2.94297
2022-09-01T09:00:00-00:00,2.95209,2.86928,2.94196,2.93183,2.49578,2.93183,3.09744,2.92082,2.95209,3.15998,2.94196,2.90056,3.18024,2.93183,3.21151,2.95209,3.21151,3.12871,2.49578,2.90056,2.95209,3.12871,2.86928,3.14897,3.21151,2.93183,2.92082,2.93183,3.21151,2.95209,2.95209,2.92082,3.01463,2.95209,2.95209,2.92082,2.86928,2.92082,3.18024,2.92082,3.14897,2.95209,2.95209,3.21151,3.21151,2.90056,3.21151,2.93183,2.95209,2.95209,2.93183,2.95209,2.92082,2.95209,3.19037,2.49578,3.21151,2.92082,3.19037,2.95209,2.10202,2.93183,2.92082,2.93183,2.93183,3.13884,2.95209,3.18024,2.94196
2022-09-01T09:15:00-00:00,3.8921,3.783,3.8921,3.87875,3.29091,3.86541,4.0836,3.86541,3.8921,4.17935,3.8921,3.83755,4.1927,3.86541,4.2339,3.8921,4.2339,4.13815,3.29091,3.82421,3.8921,4.13815,3.783,4.1515,4.2339,3.8921,3.86541,3.87875,4.2339,3.8921,3.8921,3.86541,4.0012,3.8921,3.8921,3.86541,3.79635,3.86541,4.20605,3.86541,4.1515,3.8921,3.8921,4.2339,4.2339,3.83755,4.2339,3.87875,3.8921,3.8921,3.87875,3.8921,3.86541,3.8921,4.2339,3.29091,4.24725,3.86541,4.2339,3.8921,2.77211,3.87875,3.86541,3.86541,3.8921,4.1515,3.8921,4.20605,3.8921
