,PNODE_ID,AS_ID,Type,RES_ID,BUS_ID,FNMVERSION,RELEASE_DATE,GROUP,Lat,Lng,NodeLMP,NodeMCC,NodeMCE,Average MCC
0,ALPINE_6_N001,AS_SP26,LOAD,ALPINE_6_LD32,22004_ALPINE _69.0_LD32,22M7_DB114,2022-07-28 0:00:00,65,32.82779814,-116.789691,"<img src=""./data/SDGE_NODE_LMP_Plots/ALPINE_6_N001/SDGENodeLMP.png"" width=""200"" height=""120""/>","<img src=""./data/SDGE_NODE_LMP_Plots/ALPINE_6_N001/SDGENodeMCC.png"" width=""200"" height=""120""/>","<img src=""./data/SDGE_NODE_LMP_Plots/ALPINE_6_N001/SDGENodeMCE.png"" width=""200"" height=""120""/>",54.98141286458333
1,ALPINE_6_N005,AS_SP26,LOAD,ALPINE_6_LD30,22004_ALPINE _69.0_LD30,22M7_DB114,2022-07-28 0:00:00,64,32.82775303,-116.7901154,"<img src=""./data/SDGE_NODE_LMP_Plots/ALPINE_6_N005/SDGENodeLMP.png"" width=""200"" height=""120""/>","<img src=""./data/SDGE_NODE_LMP_Plots/ALPINE_6_N005/SDGENodeMCC.png"" width=""200"" height=""120""/>","<img src=""./data/SDGE_NODE_LMP_Plots/ALPINE_6_N005/SDGENodeMCE.png"" width=""200"" height=""120""/>",20.93272114583335
2,ARTESN_6_N001,AS_SP26,LOAD,ARTESN_6_LD32,22009_ARTESN _69.0_LD32,22M7_DB114,2022-07-28 0:00:00,135,33.02122758,-117.1341006,"<img src=""./data/SDGE_NODE_LMP_Plots/ARTESN_6_N001/SDGENodeLMP.png"" width=""200"" height=""120""/>","<img src=""./data/SDGE_NODE_LMP_Plots/ARTESN_6_N001/SDGENodeMCC.png"" width=""200"" height=""120""/>","<img src=""./data/SDGE_NODE_LMP_Plots/ARTESN_6_N001/SDGENodeMCE.png"" width=""200"" height=""120""/>",49.098981059027864
3,ASH_6_N001,AS_SP15,LOAD,ASH_6_LD32,22008_ASH  _69.0_LD32,22M7_DB114,2022-07-28 0:00:00,147,33.13665216,-117.0700699,"<img src=""./data/SDGE_NODE_LMP_Plots/ASH_6_N001/SDGENodeLMP.png"" width=""200"" height=""120""/>","<img src=""./data/SDGE_NODE_LMP_Plots/ASH_6_N001/SDGENodeMCC.png"" width=""200"" height=""120""/>","<img src=""./data/SDGE_NODE_LMP_Plots/ASH_6_N001/SDGENodeMCE.png"" width=""200"" height=""120""/>",63.83994968749989
4,ASH_6_N005,AS_SP26,LOAD,ASH_6_LD30,22008_ASH  _69.0_LD30,22M7_DB114,2022-07-28 0:00:00,145,33.13678728,-117.0705751,"<img src=""./data/SDGE_NODE_LMP_Plots/ASH_6_N005/SDGENodeLMP.png"" width=""200"" height=""120""/>","<img src=""./data/SDGE_NODE_LMP_Plots/ASH_6_N005/SDGENodeMCC.png"" width=""200"" height=""120""/>","<img src=""./data/SDGE_NODE_LMP_Plots/ASH_6_N005/SDGENodeMCE.png"" width=""200"" height=""120""/>",58.76530965277777
5,ASH_6_N101,AS_SP15,LOAD,ASH_6_LD31,22008_ASH  _69.0_LD31,22M7_DB114,2022-07-28 0:00:00,146,33.13662312,-117.0704085,"<img src=""./data/SDGE_NODE_LMP_Plots/ASH_6_N101/SDGENodeLMP.png"" width=""200"" height=""120""/>","<img src=""./data/SDGE_NODE_LMP_Plots/ASH_6_N101/SDGENodeMCC.png"" width=""200"" height=""120""/>","<img src=""./data/SDGE_NODE_LMP_Plots/ASH_6_N101/SDGENodeMCE.png"" width=""200"" height=""120""/>",59.81621104166668
6,AVOCADO_6_N001,AS_SP15,LOAD,AVOCDO_6_LD32,22020_AVOCADO _69.0_LD32,22M7_DB114,2022-07-28 0:00:00,172,33.3846983,-117.2367474,"<img src=""./data/SDGE_NODE_LMP_Plots/AVOCADO_6_N001/SDGENodeLMP.png"" width=""200"" height=""120""/>","<img src=""./data/SDGE_NODE_LMP_Plots/AVOCADO_6_N001/SDGENodeMCC.png"" width=""200"" height=""120""/>","<img src=""./data/SDGE_NODE_LMP_Plots/AVOCADO_6_N001/SDGENodeMCE.png"" width=""200"" height=""120""/>",20.932721145833355
7,AVOCADO_6_N002,AS_SP26,LOAD,AVOCDO_6_LD31,22020_AVOCADO _69.0_LD31,22M7_DB114,2022-07-28 0:00:00,171,33.38470052,-117.2370801,"<img src=""./data/SDGE_NODE_LMP_Plots/AVOCADO_6_N002/SDGENodeLMP.png"" width=""200"" height=""120""/>","<img src=""./data/SDGE_NODE_LMP_Plots/AVOCADO_6_N002/SDGENodeMCC.png"" width=""200"" height=""120""/>","<img src=""./data/SDGE_NODE_LMP_Plots/AVOCADO_6_N002/SDGENodeMCE.png"" width=""200"" height=""120""/>",50.328609322916684
8,BARRETT_6_N001,AS_SP15,LOAD,BARRET_6_LD31,22040_BARRETT _69.0_LD1,22M7_DB114,2022-07-28 0:00:00,211,32.66715153,-116.7002197,"<img src=""./data/SDGE_NODE_LMP_Plots/BARRETT_6_N001/SDGENodeLMP.png"" width=""200"" height=""120""/>","<img src=""./data/SDGE_NODE_LMP_Plots/BARRETT_6_N001/SDGENodeMCC.png"" width=""200"" height=""120""/>","<img src=""./data/SDGE_NODE_LMP_Plots/BARRETT_6_N001/SDGENodeMCE.png"" width=""200"" height=""120""/>",61.968449756944516
9,BATIQTOS_1_N001,AS_SP26,LOAD,BQUTOS_1_LD41,22048_BATIQTOS_138_LD41,22M7_DB114,2022-07-28 0:00:00,379,33.10131378,-117.2503983,"<img src=""./data/SDGE_NODE_LMP_Plots/BATIQTOS_1_N001/SDGENodeLMP.png"" width=""200"" height=""120""/>","<img src=""./data/SDGE_NODE_LMP_Plots/BATIQTOS_1_N001/SDGENodeMCC.png"" width=""200"" height=""120""/>","<img src=""./data/SDGE_NODE_LMP_Plots/BATIQTOS_1_N001/SDGENodeMCE.png"" width=""200"" height=""120""/>",54.42487670138892
