INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,PRC,OPR_INTERVAL,GROUP
2022-09-01T07:00:00-00:00,2022-09-01T07:15:00-00:00,2022-09-01,01,REP_6_STGGNODE,REP_6_STGGNODE,REP_6_STGGNODE,RTPD,LMP,LMP_PRC,REP_6_STGGNODE,ALL,1,82.9598,1,1
2022-09-01T08:00:00-00:00,2022-09-01T08:15:00-00:00,2022-09-01,02,REP_6_STGGNODE,REP_6_STGGNODE,REP_6_STGGNODE,RTPD,LMP,LMP_PRC,REP_6_STGGNODE,ALL,1,112.28317,1,1
2022-09-01T09:00:00-00:00,2022-09-01T09:15:00-00:00,2022-09-01,03,REP_6_STGGNODE,REP_6_STGGNODE,REP_6_STGGNODE,RTPD,LMP,LMP_PRC,REP_6_STGGNODE,ALL,1,91.35538,1,1
2022-09-01T10:00:00-00:00,2022-09-01T10:15:00-00:00,2022-09-01,04,REP_6_STGGNODE,REP_6_STGGNODE,REP_6_STGGNODE,RTPD,LMP,LMP_PRC,REP_6_STGGNODE,ALL,1,91.64421,1,1
2022-09-01T11:00:00-00:00,2022-09-01T11:15:00-00:00,2022-09-01,05,REP_6_STGGNODE,REP_6_STGGNODE,REP_6_STGGNODE,RTPD,LMP,LMP_PRC,REP_6_STGGNODE,ALL,1,99.07216,1,1
2022-09-01T12:00:00-00:00,2022-09-01T12:15:00-00:00,2022-09-01,06,REP_6_STGGNODE,REP_6_STGGNODE,REP_6_STGGNODE,RTPD,LMP,LMP_PRC,REP_6_STGGNODE,ALL,1,83.50457,1,1
2022-09-01T13:00:00-00:00,2022-09-01T13:15:00-00:00,2022-09-01,07,REP_6_STGGNODE,REP_6_STGGNODE,REP_6_STGGNODE,RTPD,LMP,LMP_PRC,REP_6_STGGNODE,ALL,1,88.92816,1,1
2022-09-01T14:00:00-00:00,2022-09-01T14:15:00-00:00,2022-09-01,08,REP_6_STGGNODE,REP_6_STGGNODE,REP_6_STGGNODE,RTPD,LMP,LMP_PRC,REP_6_STGGNODE,ALL,1,108.85543,1,1
2022-09-01T15:00:00-00:00,2022-09-01T15:15:00-00:00,2022-09-01,09,REP_6_STGGNODE,REP_6_STGGNODE,REP_6_STGGNODE,RTPD,LMP,LMP_PRC,REP_6_STGGNODE,ALL,1,97.4124,1,1
2022-09-01T16:00:00-00:00,2022-09-01T16:15:00-00:00,2022-09-01,10,REP_6_STGGNODE,REP_6_STGGNODE,REP_6_STGGNODE,RTPD,LMP,LMP_PRC,REP_6_STGGNODE,ALL,1,83.43645,1,1
