,Unnamed: 0,Unnamed: 0.1,Lat,Lng,PNODE_ID,Type,ISO,NodeLMP,NodeMCC,NodeMCE,Average MCC_x,Average MCC_y
0,0,4,35.294502,-118.854003,2C559EQ2_7_N001,GEN,CA,"<img src=""./data/NODE_LMP_Plots/2C559EQ2_7_N001/NodeLMP.png"" width=""200"" height=""120""/>","<img src=""./data/NODE_LMP_Plots/2C559EQ2_7_N001/NodeMCC.png"" width=""200"" height=""120""/>","<img src=""./data/NODE_LMP_Plots/2C559EQ2_7_N001/NodeMCE.png"" width=""200"" height=""120""/>",12.773267005208336,12.773267005208337
1,1,33,37.632663,-121.785728,ADCC_2_N001,GEN,CA,"<img src=""./data/NODE_LMP_Plots/ADCC_2_N001/NodeLMP.png"" width=""200"" height=""120""/>","<img src=""./data/NODE_LMP_Plots/ADCC_2_N001/NodeMCC.png"" width=""200"" height=""120""/>","<img src=""./data/NODE_LMP_Plots/ADCC_2_N001/NodeMCE.png"" width=""200"" height=""120""/>",53.599795859374986,53.599795859374986
2,2,47,37.74,-121.48,AEC300_1_N001,LOAD,CA,"<img src=""./data/NODE_LMP_Plots/AEC300_1_N001/NodeLMP.png"" width=""200"" height=""120""/>","<img src=""./data/NODE_LMP_Plots/AEC300_1_N001/NodeMCC.png"" width=""200"" height=""120""/>","<img src=""./data/NODE_LMP_Plots/AEC300_1_N001/NodeMCE.png"" width=""200"" height=""120""/>",16.336026354166652,16.336026354166652
3,3,63,37.51,-121.84,AGNEW_1_N003,LOAD,CA,"<img src=""./data/NODE_LMP_Plots/AGNEW_1_N003/NodeLMP.png"" width=""200"" height=""120""/>","<img src=""./data/NODE_LMP_Plots/AGNEW_1_N003/NodeMCC.png"" width=""200"" height=""120""/>","<img src=""./data/NODE_LMP_Plots/AGNEW_1_N003/NodeMCE.png"" width=""200"" height=""120""/>",1.7613772395833334,1.7613772395833334
4,4,70,34.042605,-117.362707,AGUAMNSA_7_B1,GEN,CA,"<img src=""./data/NODE_LMP_Plots/AGUAMNSA_7_B1/NodeLMP.png"" width=""200"" height=""120""/>","<img src=""./data/NODE_LMP_Plots/AGUAMNSA_7_B1/NodeMCC.png"" width=""200"" height=""120""/>","<img src=""./data/NODE_LMP_Plots/AGUAMNSA_7_B1/NodeMCE.png"" width=""200"" height=""120""/>",5.32967588541667,5.32967588541667
5,5,86,36.65,-119.54,AIRPROD_1_N001,LOAD,CA,"<img src=""./data/NODE_LMP_Plots/AIRPROD_1_N001/NodeLMP.png"" width=""200"" height=""120""/>","<img src=""./data/NODE_LMP_Plots/AIRPROD_1_N001/NodeMCC.png"" width=""200"" height=""120""/>","<img src=""./data/NODE_LMP_Plots/AIRPROD_1_N001/NodeMCE.png"" width=""200"" height=""120""/>",-8.404529375000001,-8.404529375000001
6,6,99,33.771584,-118.100596,ALAMITOS_2_N001,LOAD,CA,"<img src=""./data/NODE_LMP_Plots/ALAMITOS_2_N001/NodeLMP.png"" width=""200"" height=""120""/>","<img src=""./data/NODE_LMP_Plots/ALAMITOS_2_N001/NodeMCC.png"" width=""200"" height=""120""/>","<img src=""./data/NODE_LMP_Plots/ALAMITOS_2_N001/NodeMCE.png"" width=""200"" height=""120""/>",27.82883294270833,27.82883294270833
7,7,100,33.77,-118.1,ALAMITOS_2_N040,LOAD,CA,"<img src=""./data/NODE_LMP_Plots/ALAMITOS_2_N040/NodeLMP.png"" width=""200"" height=""120""/>","<img src=""./data/NODE_LMP_Plots/ALAMITOS_2_N040/NodeMCC.png"" width=""200"" height=""120""/>","<img src=""./data/NODE_LMP_Plots/ALAMITOS_2_N040/NodeMCE.png"" width=""200"" height=""120""/>",15.385007812500003,15.385007812500005
8,8,103,38.575917,-121.497846,ALAMOSC_7_N001,GEN,CA,"<img src=""./data/NODE_LMP_Plots/ALAMOSC_7_N001/NodeLMP.png"" width=""200"" height=""120""/>","<img src=""./data/NODE_LMP_Plots/ALAMOSC_7_N001/NodeMCC.png"" width=""200"" height=""120""/>","<img src=""./data/NODE_LMP_Plots/ALAMOSC_7_N001/NodeMCE.png"" width=""200"" height=""120""/>",7.889648619791669,7.889648619791669
9,9,104,33.7715839999528,-118.10048775137712,ALAMT1G_7_B1,GEN,CA,"<img src=""./data/NODE_LMP_Plots/ALAMT1G_7_B1/NodeLMP.png"" width=""200"" height=""120""/>","<img src=""./data/NODE_LMP_Plots/ALAMT1G_7_B1/NodeMCC.png"" width=""200"" height=""120""/>","<img src=""./data/NODE_LMP_Plots/ALAMT1G_7_B1/NodeMCE.png"" width=""200"" height=""120""/>",33.44103575520832,33.44103575520832
